NM;TIN;VDNM;LICNUM;LICBEG;LICEND
"ПРИВАТНЕ ПIДПРИЄМСТВО ""САМОГОННА РЕСТОРАЦІЯ ""КОВЧЕГ""";39518281;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400019;24.02.2017;24.02.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ПРЕМІУМ-БАР""";35875619;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400020;03.03.2017;03.03.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ФУДЕМБІР""";39506805;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400021;03.03.2017;03.03.2022
"ПРИВАТНЕ ПIДПРИЄМСТВО ""ШЕФЛЕРА""";37303437;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400022;07.03.2017;07.03.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ЮЖНІЙ БУГ""";38199650;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400023;07.03.2017;07.03.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ЗЕ БІР""";40573335;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400024;10.03.2017;10.03.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""РОЯЛ ТАЙМ""";39142851;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400025;24.03.2017;24.03.2022
ФІЗИЧНА ОСОБА-ПІДПРИЄМЕЦЬ МОТРУК ВАСИЛЬ ДМИТРОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400026;29.03.2017;29.03.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ВІННЕРС""";38081950;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400027;31.03.2017;31.03.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ПРОМИСЛОВО-ТОРГІВЕЛЬНЕ ПІДПРИЄМСТВО ""ДРУЖБА""";20871553;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400028;31.03.2017;31.03.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""БРЮМАЙСТЕР""";38511023;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400030;05.04.2017;05.04.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""УКРТОРГКОМ""";36837328;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400034;07.04.2017;07.04.2022
"ПРИВАТНЕ ПIДПРИЄМСТВО ""ЖАН-ЖАК КЛАС""";33569550;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400035;14.04.2017;14.04.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ХОПТУІН""";40845339;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400037;20.04.2017;20.04.2022
"ПРИВАТНЕ ПIДПРИЄМСТВО ""ЧЕРКАСЬКА БАВАРІЯ""";38305461;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400040;13.05.2017;13.05.2022
ФІЗИЧНА ОСОБА – ПІДПРИЄМЕЦЬ БРОЖ ІРИНА МАРІАНІВНА;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400042;19.05.2017;19.05.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""БІР ХАУС ПОЛТАВА""";39785152;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400045;07.06.2017;07.06.2022
"ПРИВАТНЕ ПIДПРИЄМСТВО ""ІНКОПМАРК-ПЛЮС""";22222899;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400046;22.06.2017;22.06.2022
"СПІЛЬНЕ УКРАЇНСЬКО-ПОЛЬСЬКЕ ПІДПРИЄМСТВО У ФОРМІ ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КАСТЕЛЯРІ""";14331217;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400047;22.06.2017;22.06.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ЮНІТЕК""";32157767;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400049;27.06.2017;27.06.2022
"ПРИВАТНЕ АКЦIОНЕРНЕ ТОВАРИСТВО ""АГРОКОМПЛЕКС ХМІЛЬНИКПРОДУКТ""";35797976;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400051;04.07.2017;04.07.2022
ФІЗИЧНА ОСОБА – ПІДПРИЄМЕЦЬ ШИЛЯЄВ ПАВЛО ОЛЕКСАНДРОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400053;12.07.2017;12.07.2022
ФІЗИЧНА ОСОБА – ПІДПРИЄМЕЦЬ МАРЧУК ВІКТОР СТАНІСЛАВОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400056;20.07.2017;20.07.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""АКВАДОН""";38478987;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400058;26.07.2017;26.07.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""СВТК""";31886276;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400059;26.07.2017;26.07.2022
ФІЗИЧНА ОСОБА – ПІДПРИЄМЕЦЬ ОСТАПЧУК АНДРІЙ ОЛЕКСАНДРОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400060;10.08.2017;10.08.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""НОВИЙ НАЦІОНАЛЬНИЙ СТАНДАРТ""";36899064;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400061;10.08.2017;10.08.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ЕДЕЛЬБІР""";41383199;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400064;08.09.2017;08.09.2022
ФІЗИЧНА ОСОБА – ПІДПРИЄМЕЦЬ СУХОВ СЕРГІЙ СЕРГІЙОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400065;15.09.2017;15.09.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ПИВНА ЛІГА""";37005109;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400066;28.09.2017;28.09.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ПРАЙМ-КОНСАЛТ ГРУП""";38465978;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400068;13.10.2017;13.10.2022
ФІЗИЧНА ОСОБА – ПІДПРИЄМЕЦЬ ПРИЩЕПА ВАСИЛЬ ІВАНОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400069;23.11.2017;23.11.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ХМІЛЬОК""";41954970;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;140210202100001;05.02.2021;05.02.2026
ФІЗИЧНА ОСОБА - ПІДПРИЄМЕЦЬ РАКОЧИЙ ОЛЕГ ОЛЕКСАНДРОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;200210202100001;20.02.2021;20.02.2026
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ВАТРА БРЮВ""";43583718;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;220210202100001;20.01.2021;20.01.2026
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""КАНІВСЬКЕ ПИВО""";43481403;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;230210202100001;02.02.2021;02.02.2026
"ТОВ ""СД БРЮЕРІ""";41036049;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201700002;21.12.2017;21.12.2022
РІТІНЬШ СТАНІСЛАВ КАРЛОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201700003;21.12.2017;21.12.2022
"ТОВ ""МЕРКУР ХОТЕЛ МЕНЕДЖМЕНТ""";37817187;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201800001;05.01.2018;05.01.2023
ВОВЧАК РОМАН ЯРОСЛАВОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201800004;14.02.2018;14.02.2023
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЄВРО АЛЬЯНС ЛУЦЬК""";39019663;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201800005;16.02.2018;16.02.2023
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ХАРКІВСЬКА ЗЕРНОВА ПИВОВАРНЯ""";41285758;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201800008;07.03.2018;07.03.2023
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""БАЛБІР""";41220540;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201800009;07.03.2018;07.03.2023
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ГРОЛ УКРАЇНА""";36875515;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201800010;21.03.2018;21.03.2023
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""СН-""ГРУП""";41684968;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201800012;04.04.2018;04.04.2023
ФІЗИЧНА ОСОБА - ПІДПРИЄМЕЦЬ СМЕРЕКА БОРИС ВАСИЛЬОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201800013;04.04.2018;04.04.2023
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ГРОУ ТЕХ""";40337981;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201800014;13.04.2018;13.04.2023
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ КОМПАНІЯ ""ТІРАС-ФОР""";20535045;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201800015;05.05.2018;05.05.2023
"ТОВ ""АМІКРОН ПЛЮС""";40833235;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201800016;25.05.2018;25.05.2023
ФІЗИЧНА ОСОБА - ПІДПРИЄМЕЦЬ УСОК ЕДУАРД ПЕТРОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201800019;27.06.2018;27.06.2023
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ВОВЧАНСЬКА ПРИВАТНА БРОВАРНЯ""";38565587;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201800023;01.08.2018;01.08.2023
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""БУДИНОК ПИВА""";41818841;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201800024;15.08.2018;15.08.2023
ФІЗИЧНА ОСОБА - ПІДПРИЄМЕЦЬ ЦЮПАК ПАВЛО ЯРОСЛАВОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201800025;15.08.2018;15.08.2023
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ДІД БРЮВЕРІ""";41803772;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201800028;21.09.2018;21.09.2023
ФІЗИЧНА ОСОБА - ПІДПРИЄМЕЦЬ ГРИЦЕНКО ТЕТЯНА МИКОЛАЇВНА;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201800029;28.09.2018;28.09.2023
ФІЗИЧНА ОСОБА - ПІДПРИЄМЕЦЬ БІРЮКОВА ІРИНА ВОЛОДИМИРІВНА;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201800030;03.10.2018;03.10.2023
ФІЗИЧНА ОСОБА - ПІДПРИЄМЕЦЬ ДВОЙНІКОВ ВІКТОР ВІТАЛІЙОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201800031;19.10.2018;19.10.2023
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ВІФ ГРУП""";41935125;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201800032;25.10.2018;25.10.2023
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""АНДЕРСЕН""";41283375;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201800035;09.11.2018;09.11.2023
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""БРОВАРНЯ ""ПИВНА ЛЕГЕНДА""";42330174;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201800036;09.11.2018;09.11.2023
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ВЕК""";30602076;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201800037;16.11.2018;16.11.2023
ФІЗИЧНА ОСОБА - ПІДПРИЄМЕЦЬ БАЛАН ОКСАНА ОЛЕКСАНДРІВНА;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201800038;05.12.2018;05.12.2023
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ІНТЕР БІР ТРЕЙД""";38940266;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201800039;12.12.2018;12.12.2023
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""КОМУНІКАЦІЇ І КОМФОРТ""";37576996;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201900001;04.01.2019;04.01.2024
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""АВС ПИВОВАРНЯ""";41911235;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201900002;11.01.2019;11.01.2024
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ВИРОБНИЧА КОМПАНІЯ ""ПЕРЕТВОРЕННЯ""";40577332;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201900003;23.01.2019;23.01.2024
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ЛЕМБЕРГЕР""";40425358;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201900005;23.01.2019;23.01.2024
ФІЗИЧНА ОСОБА - ПІДПРИЄМЕЦЬ РОШИНЕЦЬ ВОЛОДИМИР ВАСИЛЬОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201900007;15.02.2019;15.02.2024
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ДУБЕН БРАУ""";42573578;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201900008;07.03.2019;07.03.2024
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""КИЇВСЬКА ЛОКАЛЬНА БРОВАРНЯ""";42004636;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201900009;21.03.2019;21.03.2024
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ДВА ПИВОВАРА""";41083806;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201900010;18.04.2019;18.04.2024
ФІЗИЧНА ОСОБА - ПІДПРИЄМЕЦЬ ХОМА РОМАН РУСЛАНОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201900011;19.04.2019;19.04.2024
"ПРИВАТНЕ ПIДПРИЄМСТВО ""КАХОВСЬКА БРОВАРНЯ""";42334425;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201900012;26.04.2019;26.04.2024
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""АЗОВСТРОЙ""";37538437;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201900013;07.05.2019;07.05.2024
"ДОЧIРНЄ ПIДПРИЄМСТВО ""ГАДЯЦЬКЕ НАСІННЯ""";32387203;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201900014;17.05.2019;17.05.2024
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ХМІЛЬНИЙ КАБАН""";41668752;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201900015;29.05.2019;29.05.2024
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ОПРЕМА-ЛЬВІВ ПС""";30665377;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201900016;01.07.2019;01.07.2024
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""МЕДЖИБІЗЬКА БРОВАРНЯ""";42821368;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201900017;02.07.2019;02.07.2024
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""БРОВАРНЯ ДЗЕН""";42006020;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201900019;12.07.2019;12.07.2024
"ПРИВАТНЕ ПIДПРИЄМСТВО ""АЛЬТАМАР""";36090827;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201900020;12.07.2019;12.07.2024
ФІЗИЧНА ОСОБА - ПІДПРИЄМЕЦЬ ПОКИДЬКО ТАРАС СТАНІСЛАВОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201900021;19.07.2019;19.07.2024
ФІЗИЧНА ОСОБА - ПІДПРИЄМЕЦЬ БОРИСЕНКО ОЛЕНА ЛЕОНИДІВНА;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201900022;25.07.2019;25.07.2024
"ПРИВАТНЕ ПIДПРИЄМСТВО ""ДНІПРОВСЬКА КРАФТОВА БРОВАРНЯ""";42707713;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201900024;31.07.2019;31.07.2024
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ПИВОВАРНА ГРУПА ""ВАВІЛОН""";42657762;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201900025;31.07.2019;31.07.2024
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ВОДОЛЕЙ""";21035333;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201900026;07.08.2019;07.08.2024
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ЄВРО-ПИВО""";31773616;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201900028;23.08.2019;23.08.2024
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""БРОВАР 2010""";37485658;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210201900032;25.09.2019;25.09.2024
